Buchungstag;Empfänger;Verwendungszweck;Betrag
03.07.2026;Vodafone;Mobilfunk;-29,99
03.07.2026;Deutsche Bahn;Fahrkarte;-72,91
04.07.2026;Vodafone;Mobilfunk;-29,99
04.07.2026;REWE Markt;Einkauf;-31,73
05.07.2026;REWE Markt;Einkauf;-24,00
07.07.2026;EDEKA;Einkauf;-26,92
10.07.2026;Vodafone;Mobilfunk;-29,99
10.07.2026;Netflix;Abo Netflix;-12,99
11.07.2026;Cafe Central;Kaffee;-13,74
11.07.2026;Netflix;Abo Netflix;-12,99
12.07.2026;Cafe Central;Kaffee;-11,21
12.07.2026;Netflix;Abo Netflix;-12,99
13.07.2026;Vodafone;Mobilfunk;-29,99
14.07.2026;Apotheke;Medikamente;-13,27
15.07.2026;Netflix;Abo Netflix;-12,99
15.07.2026;Vodafone;Mobilfunk;-29,99
16.07.2026;Deutsche Bahn;Fahrkarte;-49,45
20.07.2026;REWE Markt;Einkauf;-25,44
20.07.2026;Apotheke;Medikamente;-19,62
22.07.2026;EDEKA;Einkauf;-30,19
23.07.2026;Deutsche Bahn;Fahrkarte;-57,40
24.07.2026;Netflix;Abo Netflix;-12,99
25.07.2026;REWE Markt;Einkauf;-45,53
25.07.2026;Deutsche Bahn;Fahrkarte;-21,57
26.07.2026;Netflix;Abo Netflix;-12,99
31.07.2026;Cafe Central;Kaffee;-4,19
01.08.2026;Arbeitgeber GmbH;Gehalt;2.200,00
01.08.2026;Vermieter Müller;Miete;-750,00
01.08.2026;REWE Markt;Einkauf;-23,91
02.08.2026;Netflix;Abo Netflix;-12,99
03.08.2026;Deutsche Bahn;Fahrkarte;-58,42
04.08.2026;Cafe Central;Kaffee;-3,33
04.08.2026;Deutsche Bahn;Fahrkarte;-40,43
07.08.2026;Netflix;Abo Netflix;-12,99
08.08.2026;Apotheke;Medikamente;-7,40
09.08.2026;Apotheke;Medikamente;-16,87
10.08.2026;REWE Markt;Einkauf;-48,83
10.08.2026;EDEKA;Einkauf;-44,15
11.08.2026;EDEKA;Einkauf;-37,91
11.08.2026;Netflix;Abo Netflix;-12,99
12.08.2026;REWE Markt;Einkauf;-29,21
12.08.2026;REWE Markt;Einkauf;-30,81
13.08.2026;EDEKA;Einkauf;-28,74
13.08.2026;Netflix;Abo Netflix;-12,99
16.08.2026;Apotheke;Medikamente;-6,99
17.08.2026;Cafe Central;Kaffee;-5,28
18.08.2026;EDEKA;Einkauf;-13,76
21.08.2026;Netflix;Abo Netflix;-12,99
21.08.2026;Cafe Central;Kaffee;-7,53
22.08.2026;EDEKA;Einkauf;-6,09
23.08.2026;Netflix;Abo Netflix;-12,99
23.08.2026;REWE Markt;Einkauf;-29,29
24.08.2026;REWE Markt;Einkauf;-18,46
25.08.2026;Cafe Central;Kaffee;-12,45
25.08.2026;Cafe Central;Kaffee;-11,01
26.08.2026;EDEKA;Einkauf;-43,42
26.08.2026;Vodafone;Mobilfunk;-29,99
27.08.2026;REWE Markt;Einkauf;-25,15
28.08.2026;Netflix;Abo Netflix;-12,99
28.08.2026;REWE Markt;Einkauf;-11,97
29.08.2026;Apotheke;Medikamente;-23,14
31.08.2026;EDEKA;Einkauf;-14,41
31.08.2026;Netflix;Abo Netflix;-12,99
